filme1,filme2,qtd_atores_compartilhados,atores_compartilhados,generos_compartilhados,similaridade,peso
Jurassic Park,Pulp Fiction,1,Samuel L. Jackson,Thriller,3,0.333333
Forrest Gump,Toy Story,1,Tom Hanks,Comedy,3,0.333333
"Shawshank Redemption, The",Seven (a.k.a. Se7en),1,Morgan Freeman,,2,0.5
Forrest Gump,Apollo 13,2,Tom Hanks|Gary Sinise,Drama,5,0.2
Forrest Gump,Saving Private Ryan,1,Tom Hanks,Drama|War,4,0.25
Pulp Fiction,Twelve Monkeys (a.k.a. 12 Monkeys),1,Bruce Willis,Thriller,3,0.333333
Pulp Fiction,"Sixth Sense, The",1,Bruce Willis,Drama,3,0.333333
Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,8,Alec Guinness|Harrison Ford|Anthony Daniels|Carrie Fisher|Mark Hamill|David Prowse|Kenny Baker|Peter Mayhew,Action|Adventure|Sci-Fi,19,0.052632
Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,5,Harrison Ford|Anthony Daniels|Carrie Fisher|Mark Hamill|Peter Mayhew,Action|Adventure|Sci-Fi,13,0.076923
Star Wars: Episode IV - A New Hope,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1,Harrison Ford,Action|Adventure,4,0.25
"Shawshank Redemption, The","Dark Knight, The",1,Morgan Freeman,Crime|Drama,4,0.25
"Fugitive, The","Matrix, The",1,Joe Pantoliano,Thriller,3,0.333333
"Princess Bride, The",Forrest Gump,1,Robin Wright,Comedy|Romance,4,0.25
Star Wars: Episode IV - A New Hope,"Fugitive, The",1,Harrison Ford,,2,0.5
Die Hard,Pulp Fiction,1,Bruce Willis,Crime|Thriller,4,0.25
Mrs. Doubtfire,Forrest Gump,1,Sally Field,Comedy|Drama,4,0.25
Reservoir Dogs,Pulp Fiction,1,Tim Roth,Crime|Thriller,4,0.25
Speed,"Matrix, The",1,Keanu Reeves,Action|Thriller,4,0.25
"Matrix, The",Memento,2,Joe Pantoliano|Carrie-Anne Moss,Thriller,5,0.2
Pulp Fiction,Kill Bill: Vol. 1,1,Uma Thurman,Crime|Thriller,4,0.25
Pulp Fiction,Die Hard: With a Vengeance,2,Samuel L. Jackson|Bruce Willis,Crime|Thriller,6,0.166667
Aliens,"Shawshank Redemption, The",1,Mark Rolston,,2,0.5
Jurassic Park,Independence Day (a.k.a. ID4),1,Jeff Goldblum,Action|Adventure|Sci-Fi|Thriller,6,0.166667
Pulp Fiction,"Fifth Element, The",1,Bruce Willis,Comedy,3,0.333333
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,7,Harrison Ford|Anthony Daniels|Carrie Fisher|Mark Hamill|Frank Oz|Billy Dee Williams|Peter Mayhew,Action|Adventure|Sci-Fi,17,0.058824
Star Wars: Episode V - The Empire Strikes Back,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1,Harrison Ford,Action|Adventure,4,0.25
Forrest Gump,"Green Mile, The",1,Tom Hanks,Drama,3,0.333333
Pulp Fiction,"Incredibles, The",1,Samuel L. Jackson,Comedy,3,0.333333
Sleepless in Seattle,Forrest Gump,1,Tom Hanks,Comedy|Drama|Romance,5,0.2
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Star Wars: Episode VI - Return of the Jedi,1,Harrison Ford,Action|Adventure,4,0.25
Forrest Gump,Catch Me If You Can,1,Tom Hanks,Drama,3,0.333333
Seven (a.k.a. Se7en),Fight Club,1,Brad Pitt,Thriller,3,0.333333
"Usual Suspects, The",American Beauty,1,Kevin Spacey,,2,0.5
Pulp Fiction,Kill Bill: Vol. 2,1,Uma Thurman,Drama|Thriller,4,0.25
Forrest Gump,Toy Story 2,1,Tom Hanks,Comedy,3,0.333333
Star Wars: Episode V - The Empire Strikes Back,"Fugitive, The",1,Harrison Ford,,2,0.5
"Lord of the Rings: The Fellowship of the Ring, The","Lord of the Rings: The Two Towers, The",6,Sean Astin|Elijah Wood|Ian McKellen|Orlando Bloom|Billy Boyd|Sala Baker,Adventure|Fantasy,14,0.071429
Star Wars: Episode IV - A New Hope,Indiana Jones and the Last Crusade,1,Harrison Ford,Action|Adventure,4,0.25
"Lord of the Rings: The Fellowship of the Ring, The","Lord of the Rings: The Return of the King, The",6,Sean Astin|Sean Bean|Elijah Wood|Ian McKellen|Noel Appleby|Orlando Bloom,Adventure|Fantasy,14,0.071429
Forrest Gump,Cast Away,1,Tom Hanks,Drama,3,0.333333
"Shawshank Redemption, The",Outbreak,1,Morgan Freeman,Drama,3,0.333333
Seven (a.k.a. Se7en),"Usual Suspects, The",1,Kevin Spacey,Mystery|Thriller,4,0.25
Twelve Monkeys (a.k.a. 12 Monkeys),Fight Club,1,Brad Pitt,Thriller,3,0.333333
Apollo 13,Toy Story,1,Tom Hanks,Adventure,3,0.333333
Star Wars: Episode IV - A New Hope,Blade Runner,1,Harrison Ford,Action|Sci-Fi,4,0.25
Star Wars: Episode VI - Return of the Jedi,"Fugitive, The",1,Harrison Ford,,2,0.5
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),"Fugitive, The",1,Harrison Ford,,2,0.5
Seven (a.k.a. Se7en),American Beauty,1,Kevin Spacey,,2,0.5
Babe,"Matrix, The",1,Hugo Weaving,,2,0.5
Toy Story,Saving Private Ryan,1,Tom Hanks,,2,0.5
Taxi Driver,"Silence of the Lambs, The",1,Jodie Foster,Crime|Thriller,4,0.25
"Shawshank Redemption, The",Ace Ventura: When Nature Calls,1,Bob Gunton,,2,0.5
Pulp Fiction,Armageddon,1,Bruce Willis,Thriller,3,0.333333
"Shawshank Redemption, The",Broken Arrow,1,Bob Gunton,,2,0.5
Pulp Fiction,Get Shorty,1,John Travolta,Comedy|Crime|Thriller,5,0.2
Pulp Fiction,Sin City,1,Bruce Willis,Crime|Thriller,4,0.25
"Lord of the Rings: The Return of the King, The","Lord of the Rings: The Two Towers, The",6,Sean Astin|Elijah Wood|Viggo Mortensen|Ian McKellen|John Bach|Orlando Bloom,Adventure|Fantasy,14,0.071429
Top Gun,"Shawshank Redemption, The",1,Tim Robbins,,2,0.5
Big,Forrest Gump,1,Tom Hanks,Comedy|Drama|Romance,5,0.2
Pulp Fiction,Gattaca,1,Uma Thurman,Drama|Thriller,4,0.25
"Shawshank Redemption, The","Dark Knight Rises, The",1,Morgan Freeman,Crime,3,0.333333
Philadelphia,Forrest Gump,1,Tom Hanks,Drama,3,0.333333
Pulp Fiction,Star Wars: Episode II - Attack of the Clones,1,Samuel L. Jackson,,2,0.5
Star Wars: Episode IV - A New Hope,Star Wars: Episode I - The Phantom Menace,1,Anthony Daniels,Action|Adventure|Sci-Fi,5,0.2
Pulp Fiction,Django Unchained,1,Samuel L. Jackson,Drama,3,0.333333
Pulp Fiction,Broken Arrow,2,John Travolta|Frank Whaley,Thriller,5,0.2
Pulp Fiction,Face/Off,1,John Travolta,Crime|Drama|Thriller,5,0.2
Demolition Man,"Shawshank Redemption, The",1,Bob Gunton,,2,0.5
Terminator 2: Judgment Day,True Lies,1,Arnold Schwarzenegger,Action,3,0.333333
Apocalypse Now,"Matrix, The",1,Laurence Fishburne,Action,3,0.333333
"Shawshank Redemption, The",Starship Troopers,1,Clancy Brown,,2,0.5
